Name,Sector,Entry,EntryRaw,Close,MktCap_KRW_T,EV,Prob,RR,Score,VolRatio,RSI,ATR%,ADX,RS_vs_KOSPI or KOSDAQ,PctOff52H,Trigger,EntryHint,Invalidation,Reasons,MACDTrigger,Note,EntryPrice,StopPrice,TargetPrice,Shares,PosValue,Avg$Vol,Ticker,P
삼성에스디에스,Technology,WATCH_RS,BUY_BREAKOUT,195000.0,150833.0,-0.13,0.87,,51,2.31,76.1,2.77,32.5,종목 10.5% vs KOSPI 22.8%,1.9,20D High 194600.00 돌파 + Vol 2.31x (기준 1.5x),195000.00 위에서 분할(돌파 유지 시),SMA50(174568.00) 이탈 또는 Stop 184185.71,"20D high 근접, Vol 2.3x (강함), MACD 완만개선",,종가확인/윗꼬리/갭 통과 → 진짜 돌파 진입 | MARKET CAUTION(참고): SPY<SMA200 (3732.57) | 시장대비 약함(RS 20일: 종목 10.5% vs KOSPI 22.8%),,,,,,43811296820,018260.KS,4
LG,Technology,WATCH_RS,BUY_BREAKOUT,107700.0,166077.0,-0.13,0.87,,51,2.26,76.1,3.46,30.3,종목 18.2% vs KOSPI 22.8%,0.0,20D High 104200.00 돌파 + Vol 2.26x (기준 1.5x),107700.00 위에서 분할(돌파 유지 시),SMA50(88732.00) 이탈 또는 Stop 100242.86,"20D high 근접, Vol 2.3x (강함), MACD 완만개선",,종가확인/윗꼬리/갭 통과 → 진짜 돌파 진입 | MARKET CAUTION(참고): SPY<SMA200 (3732.57) | 시장대비 약함(RS 20일: 종목 18.2% vs KOSPI 22.8%),,,,,,42652683545,003550.KS,4
SK바이오팜,Healthcare,WATCH_ADX,BUY_PULLBACK,119800.0,87554.0,-0.11,0.89,,36,2.24,58.4,3.45,16.6,종목 0.3% vs KOSDAQ 10.2%,16.9,SMA50(120416.00) 눌림 후 반등(필터 통과),119800.00 부근 분할 또는 직전 고가 상향 시,SMA50(120416.00) 이탈 또는 Stop 111528.57,"Vol 2.2x (강함), MACD 완만개선, RSI 58",,RSI 58.4 | 추세없음(ADX 16.6 < 20.0),,,,,,31317496335,326030.KQ,4
한국항공우주산업,Industrials,WATCH_RS,BUY_BREAKOUT,191500.0,186665.0,-0.18,0.82,,32,1.6,67.5,4.99,23.4,종목 16.8% vs KOSPI 22.8%,3.3,20D High 188500.00 돌파 + Vol 1.60x (기준 1.5x),191500.00 위에서 분할(돌파 유지 시),SMA50(150232.00) 이탈 또는 Stop 172400.00,"Vol 1.6x, MACD 완만개선, RSI 67",,종가확인/윗꼬리/갭 통과 → 진짜 돌파 진입 | MARKET CAUTION(참고): SPY<SMA200 (3732.57) | 시장대비 약함(RS 20일: 종목 16.8% vs KOSPI 22.8%),,,,,,172868430080,047810.KS,4
삼성바이오로직스,Healthcare,WATCH_RS,BUY_PULLBACK,1778000.0,823053.0,-0.14,0.86,,32,1.77,53.7,2.27,36.3,종목 -0.7% vs KOSPI 22.8%,10.5,SMA50(1769180.00) 눌림 후 반등(필터 통과),1778000.00 부근 분할 또는 직전 고가 상향 시,SMA50(1769180.00) 이탈 또는 Stop 1697428.57,"Vol 1.8x, MACD 완만개선, RSI 54",,RSI 53.7 | 시장대비 약함(RS 20일: 종목 -0.7% vs KOSPI 22.8%),,,,,,95841631100,207940.KS,4
삼성화재,Financial Services,WATCH_PULLBACK,WATCH_PULLBACK,530000.0,225300.0,-0.18,0.82,,29,1.65,52.7,6.45,44.9,종목 5.6% vs KOSPI 22.8%,18.0,약한 반등(가짜 반등 필터),강한 양봉 확인 후,SMA50(506980.00) 이탈 또는 Stop 461642.86,"Vol 1.6x, RSI 53",,RSI 52.7,,,,,,75462329575,000810.KS,4
SKC,Industrials,WATCH_PULLBACK,WATCH_PULLBACK,42600.0,15322.0,-0.17,0.83,,29,1.55,56.4,4.95,63.7,종목 15.1% vs KOSPI 22.8%,14.4,약한 반등(가짜 반등 필터),강한 양봉 확인 후,SMA50(37528.00) 이탈 또는 Stop 38378.57,"Vol 1.5x, RSI 56",,RSI 56.4,,,,,,9358154125,001120.KS,4
LG화학,Basic Materials,WATCH_RS,BUY_BREAKOUT,417500.0,326799.0,-0.19,0.81,,26,2.35,81.0,4.24,27.1,종목 21.4% vs KOSPI 22.8%,2.6,20D High 401500.00 돌파 + Vol 2.35x (기준 1.5x),417500.00 위에서 분할(돌파 유지 시),SMA50(337710.00) 이탈 또는 Stop 382071.43,"Vol 2.4x (강함), MACD 완만개선",,종가확인/윗꼬리/갭 통과 → 진짜 돌파 진입 | MARKET CAUTION(참고): SPY<SMA200 (3732.57) | 시장대비 약함(RS 20일: 종목 21.4% vs KOSPI 22.8%),,,,,,168324010875,051910.KS,4
삼성중공업,Industrials,WATCH_PULLBACK,WATCH_PULLBACK,28950.0,247277.0,-0.2,0.8,,26,1.38,47.5,3.18,35.1,종목 -4.5% vs KOSPI 22.8%,10.9,약한 반등(가짜 반등 필터),강한 양봉 확인 후,SMA50(27680.00) 이탈 또는 Stop 27107.14,"Vol 1.4x (약), MACD 완만개선, RSI 47",,RSI 47.5,,,,,,124039470545,010140.KS,4
현대제철,Basic Materials,WATCH_MA_STACK,BUY_BREAKOUT,46500.0,61169.0,-0.22,0.78,,26,6.94,84.7,5.56,37.6,종목 43.5% vs KOSPI 22.8%,7.7,20D High 40300.00 돌파 + Vol 6.94x (기준 1.5x),46500.00 위에서 분할(돌파 유지 시),SMA50(32416.00) 이탈 또는 Stop 41328.57,"Vol 6.9x (강함), MACD 완만개선",,종가확인/윗꼬리/갭 통과 → 진짜 돌파 진입 | MARKET CAUTION(참고): SPY<SMA200 (3732.57) | 이평정렬 미충족(가격>SMA50>SMA150>SMA200),,,,,,66587280022,004020.KS,4
한미약품,Healthcare,WATCH_PULLBACK,WATCH_PULLBACK,43600.0,29523.0,-0.33,0.67,,18,1.06,48.0,8.22,34.9,종목 9.4% vs KOSPI 22.8%,21.4,약한 반등(가짜 반등 필터),강한 양봉 확인 후,SMA50(40293.00) 이탈 또는 Stop 36428.57,"MACD 완만개선, RSI 48",,RSI 48.0,,,,,,28644825002,008930.KS,4
펄어비스,Communication Services,WATCH_RS,BUY_PULLBACK,53600.0,32921.0,-0.32,0.68,,18,0.97,52.0,5.12,44.5,종목 3.5% vs KOSDAQ 10.2%,9.9,SMA20(53082.50) 눌림 후 반등(필터 통과),53600.00 부근 분할 또는 직전 고가 상향 시,SMA20(53082.50) 이탈 또는 Stop 48107.14,"MACD 완만개선, RSI 52",,RSI 52.0 | 시장대비 약함(RS 20일: 종목 3.5% vs KOSDAQ 10.2%),,,,,,25969118107,263750.KQ,4
이마트,Consumer Defensive,WATCH_PULLBACK,WATCH_PULLBACK,105000.0,28128.0,-0.34,0.66,,15,0.42,58.3,8.9,70.3,종목 18.1% vs KOSPI 22.8%,23.0,약한 반등(가짜 반등 필터),강한 양봉 확인 후,SMA50(92562.00) 이탈 또는 Stop 86300.00,RSI 58,,RSI 58.3,,,,,,75573946640,139480.KS,4
아모레퍼시픽,Consumer Defensive,WATCH_PULLBACK,WATCH_PULLBACK,151400.0,104445.0,-0.25,0.75,,15,1.19,61.6,4.77,42.4,종목 13.2% vs KOSPI 22.8%,10.4,약한 반등(가짜 반등 필터),강한 양봉 확인 후,SMA50(133748.00) 이탈 또는 Stop 136957.14,RSI 62,,RSI 61.6,,,,,,64674091445,090430.KS,4
KT&G,Industrials,WATCH_PULLBACK,WATCH_PULLBACK,218500.0,73265.0,-0.32,0.68,,15,0.73,59.8,5.03,43.2,종목 15.1% vs KOSPI 22.8%,7.0,약한 반등(가짜 반등 필터),강한 양봉 확인 후,SMA50(194392.00) 이탈 또는 Stop 196500.00,RSI 60,,RSI 59.8,,,,,,33957349185,001040.KS,4
셀트리온제약,Healthcare,WATCH_PULLBACK,WATCH_PULLBACK,71800.0,31804.0,-0.28,0.72,,15,0.49,55.6,4.05,18.5,종목 -0.6% vs KOSDAQ 10.2%,8.3,약한 반등(가짜 반등 필터),강한 양봉 확인 후,SMA50(66409.02) 이탈 또는 Stop 65985.71,RSI 56,,RSI 55.6,,,,,,15123311545,068760.KQ,4
NAVER,Technology,WATCH_PULLBACK,WATCH_PULLBACK,254500.0,399190.0,-0.36,0.64,,8,0.84,39.6,2.93,26.8,종목 -9.6% vs KOSDAQ 10.2%,13.7,약한 반등(가짜 반등 필터),강한 양봉 확인 후,SMA50(252320.00) 이탈 또는 Stop 239571.43,MACD 완만개선,,RSI 39.6,,,,,,393396013700,035420.KQ,4
현대차,Consumer Cyclical,CANDIDATE_BUY,BUY_BREAKOUT,674000.0,1754399.0,1.14,0.72,1.96,17,1.78,81.4,5.07,21.7,종목 38.0% vs KOSPI 22.8%,1.9,20D High 618000.00 돌파 + Vol 1.78x (기준 1.5x),674000.00 위에서 분할(돌파 유지 시),SMA50(426820.00) 이탈 또는 Stop 605714.29,"Vol 1.8x, MACD 완만개선",,BUY 후보(미달): RR 1.96 < 1.8 또는 Shares 0 → SMART 승격 후보,674000.0,605714.29,807728.57,0.0,0.0,1293061261200,005380.KS,5
한미반도체,Technology,CANDIDATE_BUY,BUY_BREAKOUT,323500.0,306849.0,1.26,0.76,1.95,21,2.66,85.3,6.09,44.6,종목 85.1% vs KOSPI 22.8%,2.7,20D High 277500.00 돌파 + Vol 2.66x (기준 1.5x),323500.00 위에서 분할(돌파 유지 시),SMA50(176100.00) 이탈 또는 Stop 284085.71,"Vol 2.7x (강함), MACD 완만개선",,BUY 후보(미달): RR 1.95 < 1.8 또는 Shares 0 → SMART 승격 후보,323500.0,284085.71,400163.93,0.0,0.0,570568417565,042700.KS,5
LG생활건강,Technology,SKIP,SKIP,14340.0,71700.0,-0.16,0.84,,31,2.36,69.6,5.79,31.9,,10.7,진입 타이밍 불명확,-,Stop 12678.57,"Vol 2.4x (강함), MACD 완만개선, RSI 70",,대기,,,,,,99401358951,034220.KS,9
우리금융지주,Financial Services,SKIP,SKIP,36000.0,263158.0,-0.14,0.86,,28,2.53,63.9,5.14,69.5,,13.3,진입 타이밍 불명확,-,Stop 32300.00,"Vol 2.5x (강함), RSI 64",,대기,,,,,,109722134815,316140.KS,9
DB손해보험,Financial Services,SKIP,SKIP,183100.0,109940.0,-0.18,0.82,,28,2.17,65.5,7.64,87.3,,14.4,진입 타이밍 불명확,-,Stop 155107.14,"Vol 2.2x (강함), RSI 65",,대기,,,,,,65188102725,005830.KS,9
두산밥캣,Industrials,SKIP,SKIP,65000.0,62214.0,-0.12,0.88,,28,8.2,51.4,4.67,19.6,,12.0,진입 타이밍 불명확,-,Stop 58928.57,"Vol 8.2x (강함), RSI 51",,대기,,,,,,49887354750,241560.KS,9
롯데케미칼,Consumer Defensive,SKIP,SKIP,267000.0,44739.0,-0.12,0.88,,28,7.7,52.9,2.62,9.8,,24.9,진입 타이밍 불명확,-,Stop 253000.00,"Vol 7.7x (강함), RSI 53",,대기,,,,,,37555359075,051900.KS,9
KB금융,Financial Services,SKIP,SKIP,159000.0,570154.0,-0.2,0.8,,24,1.6,67.7,4.21,65.6,,7.8,진입 타이밍 불명확,-,Stop 145614.29,"Vol 1.6x, RSI 68",,대기,,,,,,260733037800,105560.KS,9
신한지주,Financial Services,SKIP,SKIP,96900.0,459940.0,-0.18,0.82,,24,1.59,61.2,3.98,65.4,,9.6,진입 타이밍 불명확,-,Stop 89185.71,"Vol 1.6x, RSI 61",,대기,,,,,,180760513340,055550.KS,9
하나금융지주,Financial Services,SKIP,SKIP,121800.0,333715.0,-0.15,0.85,,24,1.77,63.0,4.36,56.2,,8.9,진입 타이밍 불명확,-,Stop 111185.71,"Vol 1.8x, RSI 63",,대기,,,,,,142847660415,086790.KS,9
SK이노베이션,Energy,SKIP,SKIP,127700.0,213401.0,-0.17,0.83,,24,1.66,64.2,4.25,38.6,,8.9,진입 타이밍 불명확,-,Stop 116857.14,"Vol 1.7x, RSI 64",,대기,,,,,,82067786450,096770.KS,9
HMM,Industrials,SKIP,SKIP,21350.0,201381.0,-0.18,0.82,,24,1.58,56.5,3.97,42.6,,18.7,진입 타이밍 불명확,-,Stop 19655.71,"Vol 1.6x, RSI 56",,대기,,,,,,54389619646,011200.KS,9
유한양행,Healthcare,SKIP,SKIP,110200.0,82390.0,-0.16,0.84,,24,1.7,53.6,2.82,11.2,,20.0,진입 타이밍 불명확,-,Stop 103985.71,"Vol 1.7x, RSI 54",,대기,,,,,,42906762860,000100.KS,9
기업은행,Financial Services,SKIP,SKIP,25750.0,205337.0,-0.21,0.79,,24,1.56,66.1,4.32,54.3,,12.9,진입 타이밍 불명확,-,Stop 23525.00,"Vol 1.6x, RSI 66",,대기,,,,,,39570243245,024110.KS,9
크래프톤,Technology,SKIP,SKIP,248500.0,123487.0,-0.15,0.85,,24,1.8,53.5,4.2,18.5,,36.8,진입 타이밍 불명확,-,Stop 227607.14,"Vol 1.8x, RSI 54",,대기,,,,,,39088210250,259960.KQ,9
S-Oil,Energy,SKIP,SKIP,110000.0,128063.0,-0.19,0.81,,24,1.51,62.7,4.5,34.2,,8.3,진입 타이밍 불명확,-,Stop 100100.00,"Vol 1.5x, RSI 63",,대기,,,,,,36916464905,010950.KS,9
한국타이어앤테크놀로지,Consumer Cyclical,SKIP,SKIP,72900.0,88930.0,-0.15,0.85,,24,1.98,66.2,4.99,33.5,,7.0,진입 타이밍 불명확,-,Stop 65628.57,"Vol 2.0x, RSI 66",,대기,,,,,,31122317535,161390.KS,9
넷마블,Technology,SKIP,SKIP,52600.0,49251.0,-0.18,0.82,,24,1.56,53.2,4.13,38.2,,23.8,진입 타이밍 불명확,-,Stop 48257.14,"Vol 1.6x, RSI 53",,대기,,,,,,16201087465,251270.KQ,9
SK하이닉스,Technology,SKIP,SKIP,1061000.0,7325730.0,-0.26,0.74,,21,1.31,68.8,4.5,28.9,,3.5,진입 타이밍 불명확,-,Stop 965571.43,"Vol 1.3x (약), MACD 완만개선, RSI 69",,대기,,,,,,4483356943750,000660.KS,9
SK스퀘어,Technology,SKIP,SKIP,645000.0,850602.0,-0.27,0.73,,21,1.27,61.2,6.19,44.2,,5.3,진입 타이밍 불명확,-,Stop 565142.86,"Vol 1.3x (약), MACD 완만개선, RSI 61",,대기,,,,,,459986588500,402340.KS,9
LG에너지솔루션,Industrials,SKIP,SKIP,427000.0,999180.0,-0.23,0.77,,21,1.3,60.9,3.55,24.0,,19.0,진입 타이밍 불명확,-,Stop 396714.29,"Vol 1.3x (약), MACD 완만개선, RSI 61",,대기,,,,,,187027772425,373220.KS,9
삼성물산,Industrials,SKIP,SKIP,350500.0,573541.0,-0.21,0.79,,21,1.39,62.1,4.87,19.0,,3.7,진입 타이밍 불명확,-,Stop 316357.14,"Vol 1.4x (약), MACD 완만개선, RSI 62",,대기,,,,,,156384327650,028260.KS,9
HD한국조선해양,Industrials,SKIP,SKIP,450000.0,318216.0,-0.23,0.77,,21,1.29,57.3,4.76,39.5,,9.0,진입 타이밍 불명확,-,Stop 407142.86,"Vol 1.3x (약), MACD 완만개선, RSI 57",,대기,,,,,,113688196325,009540.KS,9
삼성생명,Financial Services,SKIP,SKIP,230000.0,413022.0,-0.27,0.73,,21,1.42,65.2,6.54,50.6,,11.4,진입 타이밍 불명확,-,Stop 199914.29,"Vol 1.4x (약), MACD 완만개선, RSI 65",,대기,,,,,,100787112185,032830.KS,9
LG이노텍,Technology,SKIP,SKIP,319000.0,75490.0,-0.29,0.71,,21,1.35,70.6,5.65,40.5,,9.8,진입 타이밍 불명확,-,Stop 282928.57,"Vol 1.3x (약), MACD 완만개선, RSI 71",,대기,,,,,,86747443225,011070.KS,9
한국전력,Utilities,SKIP,SKIP,58500.0,375549.0,-0.19,0.81,,18,3.02,38.3,4.33,19.8,,15.8,진입 타이밍 불명확,-,Stop 53428.57,Vol 3.0x (강함),,대기,,,,,,195759579635,015760.KS,9
메리츠금융지주,Financial Services,SKIP,SKIP,127100.0,216507.0,-0.28,0.72,,18,1.21,55.7,5.39,65.7,,15.2,진입 타이밍 불명확,-,Stop 113407.14,"Vol 1.2x (약), RSI 56",,대기,,,,,,54490244015,138040.KS,9
현대글로비스,Industrials,SKIP,SKIP,289500.0,217125.0,-0.27,0.73,,17,1.51,73.3,4.77,24.2,,2.2,진입 타이밍 불명확,-,Stop 261857.14,"Vol 1.5x, MACD 완만개선",,대기,,,,,,110880321100,086280.KS,9
에코프로,Industrials,SKIP,SKIP,185000.0,248609.0,-0.32,0.68,,13,0.61,55.8,6.25,57.7,,2.6,진입 타이밍 불명확,-,Stop 161857.14,"MACD 완만개선, RSI 56",,대기,,,,,,770020861440,086520.KQ,9
한화오션,Industrials,SKIP,SKIP,141200.0,432633.0,-0.28,0.72,,13,0.9,47.4,4.32,22.6,,7.3,진입 타이밍 불명확,-,Stop 129014.29,"MACD 완만개선, RSI 47",,대기,,,,,,266370358585,042660.KS,9
에코프로비엠,Industrials,SKIP,SKIP,221500.0,216471.0,-0.32,0.68,,13,0.7,49.5,5.4,27.8,,14.8,진입 타이밍 불명확,-,Stop 197578.57,"MACD 완만개선, RSI 49",,대기,,,,,,249085284880,247540.KQ,9
알테오젠,Healthcare,SKIP,SKIP,407500.0,217939.0,-0.28,0.72,,13,0.77,54.4,3.97,16.8,,28.4,진입 타이밍 불명확,-,Stop 375142.86,"MACD 완만개선, RSI 54",,대기,,,,,,229083918750,196170.KQ,9
포스코퓨처엠,Industrials,SKIP,SKIP,247000.0,219697.0,-0.28,0.72,,13,0.9,58.8,4.63,25.2,,5.0,진입 타이밍 불명확,-,Stop 224142.86,"MACD 완만개선, RSI 59",,대기,,,,,,124467755125,003670.KS,9
고려아연,Basic Materials,SKIP,SKIP,2030000.0,369125.0,-0.32,0.68,,13,0.51,60.6,5.21,21.8,,7.2,진입 타이밍 불명확,-,Stop 1818428.57,"MACD 완만개선, RSI 61",,대기,,,,,,98993516800,010130.KS,9
카카오페이,Financial Services,SKIP,SKIP,66900.0,91092.0,-0.32,0.68,,13,0.67,46.4,5.77,29.9,,41.3,진입 타이밍 불명확,-,Stop 59185.71,"MACD 완만개선, RSI 46",,대기,,,,,,86087997955,377300.KQ,9
LS,Industrials,SKIP,SKIP,284500.0,78906.0,-0.36,0.64,,13,0.92,71.0,5.15,25.3,,4.8,진입 타이밍 불명확,-,Stop 255214.29,"MACD 완만개선, RSI 71",,대기,,,,,,61090271240,006260.KS,9
엔씨소프트,Technology,SKIP,SKIP,231000.0,49982.0,-0.28,0.72,,13,0.77,61.2,4.65,23.5,,10.6,진입 타이밍 불명확,-,Stop 209535.71,"MACD 완만개선, RSI 61",,대기,,,,,,39130785900,036570.KQ,9
씨에스윈드,Industrials,SKIP,SKIP,53700.0,22253.0,-0.36,0.64,,13,1.02,66.7,6.06,47.6,,6.3,진입 타이밍 불명확,-,Stop 47192.86,"MACD 완만개선, RSI 67",,대기,,,,,,26756174272,112610.KS,9
코스모신소재,Basic Materials,SKIP,SKIP,58400.0,18979.0,-0.32,0.68,,13,0.65,60.7,5.25,48.4,,10.6,진입 타이밍 불명확,-,Stop 52271.43,"MACD 완만개선, RSI 61",,대기,,,,,,24008184115,005070.KS,9
SK아이이테크놀로지,Technology,SKIP,SKIP,27100.0,21714.0,-0.28,0.72,,13,0.74,54.9,4.18,18.4,,22.8,진입 타이밍 불명확,-,Stop 24835.71,"MACD 완만개선, RSI 55",,대기,,,,,,6301591790,361610.KQ,9
한화에어로스페이스,Industrials,SKIP,SKIP,1195000.0,614813.0,-0.34,0.66,,11,1.28,35.4,5.65,28.0,,14.5,진입 타이밍 불명확,-,Stop 1059857.14,"Vol 1.3x (약), MACD 완만개선",,대기,,,,,,308935176750,012450.KS,9
한화솔루션,Technology,SKIP,SKIP,53000.0,91103.0,-0.38,0.62,,10,0.58,71.1,9.78,79.7,,10.6,진입 타이밍 불명확,-,Stop 42632.14,RSI 71,,대기,,,,,,551928507507,009830.KS,9
셀트리온,Healthcare,SKIP,SKIP,238500.0,559137.0,-0.32,0.68,,10,0.99,71.1,3.68,47.8,,5.0,진입 타이밍 불명확,-,Stop 220928.57,RSI 71,,대기,,,,,,192392195000,068270.KQ,9
SK텔레콤,Communication Services,SKIP,SKIP,79800.0,169960.0,-0.29,0.71,,10,1.15,52.6,5.17,38.3,,9.9,진입 타이밍 불명확,-,Stop 71542.86,RSI 53,,대기,,,,,,140771535650,017670.KS,9
하이브,Communication Services,SKIP,SKIP,387500.0,171512.0,-0.26,0.74,,10,1.12,59.9,3.32,16.1,,4.4,진입 타이밍 불명확,-,Stop 361785.71,RSI 60,,대기,,,,,,133793314050,352820.KQ,9
LG디스플레이,Healthcare,SKIP,SKIP,593000.0,75194.0,-0.32,0.68,,10,0.75,65.0,5.72,69.6,,8.3,진입 타이밍 불명확,-,Stop 525142.86,RSI 65,,대기,,,,,,91922319950,128940.KS,9
카카오뱅크,Financial Services,SKIP,SKIP,27150.0,136902.0,-0.32,0.68,,10,0.81,61.5,5.54,76.2,,29.9,진입 타이밍 불명확,-,Stop 24142.86,RSI 61,,대기,,,,,,91249321867,323410.KQ,9
포스코인터내셔널,Industrials,SKIP,SKIP,72200.0,123061.0,-0.29,0.71,,10,1.16,56.5,5.29,49.1,,8.1,진입 타이밍 불명확,-,Stop 64557.14,RSI 57,,대기,,,,,,63169576915,047050.KS,9
OCI홀딩스,Financial Services,SKIP,SKIP,152000.0,28379.0,-0.34,0.66,,10,0.75,50.5,7.5,66.4,,6.9,진입 타이밍 불명확,-,Stop 129185.71,RSI 51,,대기,,,,,,46678151725,010060.KS,9
KT,Communication Services,SKIP,SKIP,63800.0,153842.0,-0.32,0.68,,10,0.78,67.4,3.95,35.1,,8.1,진입 타이밍 불명확,-,Stop 58757.14,RSI 67,,대기,,,,,,37957170575,030200.KS,9
JYP,Communication Services,SKIP,SKIP,69800.0,23127.0,-0.29,0.71,,10,0.81,46.5,2.28,16.8,,21.1,진입 타이밍 불명확,-,Stop 66621.43,RSI 46,,대기,,,,,,27764362390,035900.KQ,9
